"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted"
"DRC",125,"with_conflict_lo",83,382013.407901947,279,1109,505143.351236971,25.1577998196573,24.3752477457161
"DRC",125,"with_conflict_mid",40.7,234567.380154101,202,609,343126.09985917,33.1691297208539,31.6381411235183
"DRC",126,"cov_conflict_hi",184,38419.5111395531,53,237,62307.6056489657,22.3628691983122,38.3389704364432
"DRC",126,"cov_conflict_lo",21,4055.46329617037,14,35,6357.36006485034,40,36.2083749417795
"DRC",126,"cov_conflict_mid",7,2703.0255385113,8,15,5152.68833417462,53.3333333333333,47.5414509240974
"DRC",126,"dpc_conflict_hi",30,22077.6772761307,41,71,47282.6562986514,57.7464788732394,53.3070284023777
"DRC",126,"dpc_conflict_lo",5,918.106312971957,5,10,1383.72297126257,50,33.6495576036988
"DRC",126,"dpc_conflict_mid",15,2946.11509492238,9,24,5583.59561806349,37.5,47.236238143905
"DRC",126,"no_pep",26,4756.1824527529,0,26,4756.1824527529,0,0
"DRC",126,"optimistic_hi",2,567.257798634862,7,9,1879.9035013001,77.7777777777778,69.8251639915262
"DRC",126,"optimistic_lo",11,6540.3380155674,43,54,32925.6094765112,79.6296296296296,80.1360153401771
"DRC",126,"optimistic_mid",0,0,2,2,244.466149589205,100,100
